series,vintage,origin,survey_q,horizon_quarters,target_annualized_pct
core_cpi,first_release,2008Q3,2008Q4,4,1.4136005619460728
core_cpi,first_release,2008Q4,2009Q1,1,1.4193944487545846
core_cpi,first_release,2008Q4,2009Q1,2,1.891847289194756
core_cpi,first_release,2008Q4,2009Q1,4,1.6900525520487109
core_cpi,first_release,2009Q1,2009Q2,1,2.364300129634929
core_cpi,first_release,2009Q1,2009Q2,2,1.923716640291619
core_cpi,first_release,2009Q1,2009Q2,4,1.3324834745302732
core_cpi,first_release,2009Q2,2009Q3,1,1.483133150948332
core_cpi,first_release,2009Q2,2009Q3,2,1.488257814902671
core_cpi,first_release,2009Q2,2009Q3,4,0.9658745690474141
core_cpi,first_release,2009Q3,2009Q4,1,1.493382478857005
core_cpi,first_release,2009Q3,2009Q4,2,0.7412503087689019
core_cpi,first_release,2009Q3,2009Q4,4,0.9026743076686248
core_cpi,first_release,2009Q4,2010Q1,1,-0.01088186131919231
core_cpi,first_release,2009Q4,2010Q1,2,0.4434913231921715
core_cpi,first_release,2009Q4,2010Q1,4,0.6342020203596935
core_cpi,first_release,2010Q1,2010Q2,1,0.8978645077035989
core_cpi,first_release,2010Q1,2010Q2,2,1.0640983065683494
core_cpi,first_release,2010Q1,2010Q2,4,1.0779974274400919
core_cpi,first_release,2010Q2,2010Q3,1,1.230332105433101
core_cpi,first_release,2010Q2,2010Q3,2,0.824912717527186
core_cpi,first_release,2010Q2,2010Q3,4,1.470956805445484
core_cpi,first_release,2010Q3,2010Q4,1,0.41949332962122887
core_cpi,first_release,2010Q3,2010Q4,2,1.091896548311807
core_cpi,first_release,2010Q3,2010Q4,4,1.833249696679622
core_cpi,first_release,2010Q4,2011Q1,1,1.7642997670023635
core_cpi,first_release,2010Q4,2011Q1,2,2.1170008933637785
core_cpi,first_release,2010Q4,2011Q1,4,2.145439448718411
core_cpi,first_release,2011Q1,2011Q2,1,2.46970201972521
core_cpi,first_release,2011Q1,2011Q2,2,2.5746028450474205
core_cpi,first_release,2011Q1,2011Q2,4,2.2189867261763982
core_cpi,first_release,2011Q2,2011Q3,1,2.679503670369589
core_cpi,first_release,2011Q2,2011Q3,2,2.1738780040730195
core_cpi,first_release,2011Q2,2011Q3,4,2.231571018796359
core_cpi,first_release,2011Q3,2011Q4,1,1.6682523377764313
core_cpi,first_release,2011Q3,2011Q4,2,1.8633706073053753
core_cpi,first_release,2011Q3,2011Q4,4,1.9389862706155108
core_cpi,first_release,2011Q4,2012Q1,1,2.0584888768343577
core_cpi,first_release,2011Q4,2012Q1,2,2.2892640335196974
core_cpi,first_release,2011Q4,2012Q1,4,1.9227416618758277
core_cpi,first_release,2012Q1,2012Q2,1,2.5200391902050043
core_cpi,first_release,2012Q1,2012Q2,2,2.0146019339256385
core_cpi,first_release,2012Q1,2012Q2,4,1.9115745035178922
core_cpi,first_release,2012Q2,2012Q3,1,1.5091646776462768
core_cpi,first_release,2012Q2,2012Q3,2,1.5562192902319616
core_cpi,first_release,2012Q2,2012Q3,4,1.6266873006536255
core_cpi,first_release,2012Q3,2012Q4,1,1.6032739028176386
core_cpi,first_release,2012Q3,2012Q4,2,1.8085470731101148
core_cpi,first_release,2012Q3,2012Q4,4,1.6922540100512085
